Lib_Data_2022-2023,,,
Date,Daily_User_Count,Sim_Daily_User_Count,Ratio
9/1/2022,641,262,2
9/2/2022,786,252,3
9/3/2022,0,0,0
9/4/2022,0,0,0
9/5/2022,826,261,3
9/6/2022,733,264,2
9/7/2022,753,292,2
9/8/2022,513,260,1
9/9/2022,1000,245,4
9/10/2022,0,0,0
9/11/2022,0,0,0
9/12/2022,742,261,2
9/13/2022,765,264,2
9/14/2022,691,287,2
9/15/2022,641,290,2
9/16/2022,944,250,3
9/17/2022,0,0,0
9/18/2022,0,0,0
9/19/2022,802,335,2
9/20/2022,837,307,2
9/21/2022,820,306,2
9/22/2022,1159,321,3
9/23/2022,1749,303,5
9/24/2022,0,0,0
9/25/2022,0,0,0
9/26/2022,624,307,2
9/27/2022,544,336,1
9/28/2022,557,310,1
9/29/2022,641,315,2
9/30/2022,786,339,2
10/1/2022,0,0,0
10/2/2022,0,0,0
10/3/2022,892,333,2
10/4/2022,778,321,2
10/5/2022,797,293,2
10/6/2022,916,313,2
10/7/2022,1123,310,3
10/8/2022,0,0,0
10/9/2022,0,0,0
10/10/2022,1180,332,3
10/11/2022,1048,319,3
10/12/2022,1077,310,3
10/13/2022,733,329,2
10/14/2022,1430,307,4
10/15/2022,0,0,0
10/16/2022,0,0,0
10/17/2022,1061,377,2
10/18/2022,1094,383,2
10/19/2022,988,390,2
10/20/2022,916,374,2
10/21/2022,1350,386,3
10/22/2022,0,0,0
10/23/2022,0,0,0
10/24/2022,1146,371,3
10/25/2022,1197,376,3
10/26/2022,1172,374,3
10/27/2022,1656,388,4
10/28/2022,2499,398,6
10/29/2022,0,0,0
10/30/2022,0,0,0
10/31/2022,1681,385,4
11/1/2022,1089,351,3
11/2/2022,1115,387,2
11/3/2022,1282,387,3
11/4/2022,1572,381,4
11/5/2022,0,0,0
11/6/2022,0,0,0
11/7/2022,1652,393,4
11/8/2022,1467,366,4
11/9/2022,1507,380,3
11/10/2022,1026,371,2
11/11/2022,2001,395,5
11/12/2022,0,0,0
11/13/2022,0,0,0
11/14/2022,1485,287,5
11/15/2022,1531,308,4
11/16/2022,1383,301,4
11/17/2022,1282,297,4
11/18/2022,1889,307,6
11/19/2022,0,0,0
11/20/2022,0,0,0
11/21/2022,1604,333,4
11/22/2022,1675,314,5
11/23/2022,1640,308,5
11/24/2022,2318,298,7
11/25/2022,3498,308,11
11/26/2022,0,0,0
11/27/2022,0,0,0
11/28/2022,1248,322,3
11/29/2022,1675,315,5
11/30/2022,1640,300,5
12/1/2022,824,315,2
12/2/2022,1010,311,3
12/3/2022,0,0,0
12/4/2022,0,0,0
12/5/2022,1062,312,3
12/6/2022,943,313,3
12/7/2022,969,300,3
12/8/2022,659,316,2
12/9/2022,1287,297,4
12/10/2022,0,0,0
12/11/2022,0,0,0
12/12/2022,954,307,3
12/13/2022,984,333,2
12/14/2022,889,314,2
12/15/2022,824,308,2
12/16/2022,1215,298,4
12/17/2022,0,0,0
12/18/2022,0,0,0
12/19/2022,1031,329,3
12/20/2022,1077,307,3
12/21/2022,1054,377,2
12/22/2022,1490,383,3
12/23/2022,2249,390,5
12/24/2022,0,0,0
12/25/2022,0,0,0
12/26/2022,1512,314,4
12/27/2022,802,308,2
12/28/2022,700,298,2
12/29/2022,717,308,2
12/30/2022,2249,322,6
12/31/2022,0,0,0
1/1/2023,0,0,0
1/2/2023,1338,375,3
1/3/2023,1167,375,3
